INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
423260,1237223,2897706,2.9231,6.8462,2.3421,29389,16643,0.5663,0.0694,0.0238,0.0101,0,0,0.5051,0.0,0.0,0.0,41654,24080,0.5781,0.0984,0.0337,0.0144,0,0,0.8444,0.0,0.0,0.0,17705,8616,0.4866,0.0418,0.0143,0.0061,40507,21442,0.5293,0.0957,0.0327,0.014,14512,12249,0.8441,0.0343,0.0117,0.005,0,0,0.5062,0.0,0.0,0.0,15943,7981,0.5006,0.0377,0.0129,0.0055,146689,89209,0.6082,0.3466,0.1186,0.0506,19186,9630,0.5019,0.0453,0.0155,0.0066,325585,189850,0.5831,0.7692,0.2632,0.1124,High,1,1,0,1,0,522,0
23415,192526,41627,8.2223,1.7778,0.2162,609,79,0.1297,0.026,0.0032,0.0146,0,0,0.5009,0.0,0.0,0.0,4066,2051,0.5044,0.1736,0.0211,0.0977,0,0,1.1459,0.0,0.0,0.0,0,0,0.5528,0.0,0.0,0.0,3985,1584,0.3975,0.1702,0.0207,0.0957,925,925,1.0,0.0395,0.0048,0.0222,8450,4276,0.506,0.3609,0.0439,0.203,228,114,0.5,0.0097,0.0012,0.0055,5886,280,0.0476,0.2514,0.0306,0.1414,1868,943,0.5048,0.0798,0.0097,0.0449,26017,10252,0.3941,1.1111,0.1351,0.625,No,1,0,0,1,0,663,0
263334,614446,719780,2.3333,2.7333,1.1714,11400,8251,0.7238,0.0433,0.0186,0.0158,4727,2371,0.5016,0.018,0.0077,0.0066,17912,8884,0.496,0.068,0.0292,0.0249,0,0,0.9855,0.0,0.0,0.0,0,0,0.5662,0.0,0.0,0.0,22581,13155,0.5826,0.0858,0.0368,0.0314,8826,6521,0.7388,0.0335,0.0144,0.0123,25388,12848,0.5061,0.0964,0.0413,0.0353,7191,3273,0.4552,0.0273,0.0117,0.01,68123,45204,0.6636,0.2587,0.1109,0.0946,9408,4716,0.5013,0.0357,0.0153,0.0131,175556,105223,0.5994,0.6667,0.2857,0.2439,No,1,0,0,1,0,647,0
170819,931740,1133617,5.4545,6.6364,1.2167,6943,1458,0.21,0.0406,0.0075,0.0061,0,0,0.5041,0.0,0.0,0.0,8362,4309,0.5153,0.049,0.009,0.0074,0,0,0.9643,0.0,0.0,0.0,0,0,0.4255,0.0,0.0,0.0,58953,27296,0.463,0.3451,0.0633,0.052,9975,3976,0.3986,0.0584,0.0107,0.0088,0,0,0.506,0.0,0.0,0.0,6438,2931,0.4553,0.0377,0.0069,0.0057,47740,17071,0.3576,0.2795,0.0512,0.0421,16879,8499,0.5035,0.0988,0.0181,0.0149,155290,65540,0.422,0.9091,0.1667,0.137,No,1,0,0,1,1,628,0
14959,200451,11967,13.4,0.8,0.0597,711,422,0.5935,0.0475,0.0035,0.0594,0,0,0.5039,0.0,0.0,0.0,4204,3103,0.7381,0.281,0.021,0.3513,20,10,0.5,0.0013,0.0001,0.0017,0,0,0.5186,0.0,0.0,0.0,2707,1392,0.5142,0.181,0.0135,0.2262,1587,605,0.3812,0.1061,0.0079,0.1326,4604,2330,0.5061,0.3078,0.023,0.3847,110,50,0.4545,0.0074,0.0005,0.0092,0,0,0.681,0.0,0.0,0.0,1016,511,0.503,0.0679,0.0051,0.0849,14959,8423,0.5631,1.0,0.0746,1.25,No,1,0,0,1,0,638,0
149701,81655,149701,0.5455,1.0,1.8333,9948,5119,0.5146,0.0665,0.1218,0.0665,0,0,0.5026,0.0,0.0,0.0,28974,14644,0.5054,0.1935,0.3548,0.1935,190,190,1.0,0.0013,0.0023,0.0013,13352,7192,0.5386,0.0892,0.1635,0.0892,9914,5116,0.516,0.0662,0.1214,0.0662,3432,576,0.1678,0.0229,0.042,0.0229,0,0,0.5059,0.0,0.0,0.0,3982,1993,0.5005,0.0266,0.0488,0.0266,61494,33034,0.5372,0.4108,0.7531,0.4108,4806,2411,0.5017,0.0321,0.0589,0.0321,136092,70275,0.5164,0.9091,1.6667,0.9091,High,1,0,0,1,0,617,0
414704,452405,791708,1.0909,1.9091,1.75,22159,15163,0.6843,0.0534,0.049,0.028,10243,5143,0.5021,0.0247,0.0226,0.0129,38530,19506,0.5063,0.0929,0.0852,0.0487,0,0,0.8964,0.0,0.0,0.0,0,0,0.5403,0.0,0.0,0.0,48189,27909,0.5792,0.1162,0.1065,0.0609,19166,14292,0.7457,0.0462,0.0424,0.0242,54808,27738,0.5061,0.1322,0.1211,0.0692,15526,8479,0.5461,0.0374,0.0343,0.0196,148050,86823,0.5864,0.357,0.3273,0.187,20333,10254,0.5043,0.049,0.0449,0.0257,377004,215307,0.5711,0.9091,0.8333,0.4762,No,1,1,1,1,0,577,1
182234,1242502,1722937,6.8182,9.4545,1.3867,9141,3984,0.4358,0.0502,0.0074,0.0053,0,0,0.5,0.0,0.0,0.0,7761,3931,0.5065,0.0426,0.0062,0.0045,0,0,0.2626,0.0,0.0,0.0,0,0,0.4989,0.0,0.0,0.0,59754,30789,0.5153,0.3279,0.0481,0.0347,12873,5568,0.4325,0.0706,0.0104,0.0075,0,0,0.5061,0.0,0.0,0.0,6403,3206,0.5007,0.0351,0.0052,0.0037,54372,31100,0.572,0.2984,0.0438,0.0316,15363,7705,0.5015,0.0843,0.0124,0.0089,165667,86283,0.5208,0.9091,0.1333,0.0962,No,1,1,0,1,1,553,0
152243,478478,772090,3.1429,5.0714,1.6136,4225,1044,0.2471,0.0278,0.0088,0.0055,4656,2349,0.5045,0.0306,0.0097,0.006,17741,8997,0.5071,0.1165,0.0371,0.023,0,0,0.5619,0.0,0.0,0.0,11162,5777,0.5176,0.0733,0.0233,0.0145,17563,8297,0.4724,0.1154,0.0367,0.0227,3686,427,0.1158,0.0242,0.0077,0.0048,0,0,0.5062,0.0,0.0,0.0,7731,3870,0.5006,0.0508,0.0162,0.01,32692,9445,0.2889,0.2147,0.0683,0.0423,9289,4650,0.5006,0.061,0.0194,0.012,108745,44856,0.4125,0.7143,0.2273,0.1408,High,1,0,0,1,0,599,0
82618,859227,132189,10.4,1.6,0.1538,1999,754,0.3772,0.0242,0.0023,0.0151,0,0,0.5034,0.0,0.0,0.0,9371,4830,0.5154,0.1134,0.0109,0.0709,0,0,0.8429,0.0,0.0,0.0,0,0,0.6199,0.0,0.0,0.0,12729,7203,0.5659,0.1541,0.0148,0.0963,9104,5151,0.5658,0.1102,0.0106,0.0689,0,0,0.5062,0.0,0.0,0.0,468,258,0.5513,0.0057,0.0005,0.0035,44641,28892,0.6472,0.5403,0.052,0.3377,4306,2160,0.5016,0.0521,0.005,0.0326,82618,49248,0.5961,1.0,0.0962,0.625,No,1,0,0,1,0,636,0
320497,1228573,908075,3.8333,2.8333,0.7391,18619,5221,0.2804,0.0581,0.0152,0.0205,0,0,0.5028,0.0,0.0,0.0,49642,30953,0.6235,0.1549,0.0404,0.0547,0,0,1.1789,0.0,0.0,0.0,0,0,0.5154,0.0,0.0,0.0,38884,18646,0.4795,0.1213,0.0316,0.0428,15450,5777,0.3739,0.0482,0.0126,0.017,0,0,0.5061,0.0,0.0,0.0,15401,7009,0.4551,0.0481,0.0125,0.017,109005,36258,0.3326,0.3401,0.0887,0.12,20080,10010,0.4985,0.0627,0.0163,0.0221,267081,113874,0.4264,0.8333,0.2174,0.2941,No,1,0,0,1,0,699,0
8988,3268,6537,0.3636,0.7273,2.0003,224,136,0.6071,0.0249,0.0685,0.0343,2428,1220,0.5025,0.2701,0.743,0.3714,905,465,0.5138,0.1007,0.2769,0.1384,0,0,0.0,0.0,0.0,0.0,0,0,0.5206,0.0,0.0,0.0,1052,432,0.4106,0.117,0.3219,0.1609,105,42,0.4,0.0117,0.0321,0.0161,0,0,0.5063,0.0,0.0,0.0,0,0,0.5087,0.0,0.0,0.0,3180,1266,0.3981,0.3538,0.9731,0.4865,277,139,0.5018,0.0308,0.0848,0.0424,8171,3700,0.4528,0.9091,2.5003,1.25,No,1,0,0,1,0,661,0
239024,1533740,2370325,6.4167,9.9167,1.5455,12477,8415,0.6744,0.0522,0.0081,0.0053,0,0,0.5026,0.0,0.0,0.0,6129,3097,0.5053,0.0256,0.004,0.0026,0,0,0.8905,0.0,0.0,0.0,2165,1136,0.5247,0.0091,0.0014,0.0009,50508,27778,0.55,0.2113,0.0329,0.0213,9330,4946,0.5301,0.039,0.0061,0.0039,50204,25408,0.5061,0.21,0.0327,0.0212,5059,2533,0.5007,0.0212,0.0033,0.0021,51192,40245,0.7862,0.2142,0.0334,0.0216,12123,6084,0.5019,0.0507,0.0079,0.0051,199187,119642,0.6007,0.8333,0.1299,0.084,High,1,1,0,1,1,576,0
56174,56174,455009,1.0,8.1,8.1,5163,3886,0.7527,0.0919,0.0919,0.0113,2563,1287,0.5021,0.0456,0.0456,0.0056,7807,3966,0.508,0.139,0.139,0.0172,0,0,0.8093,0.0,0.0,0.0,0,0,0.5617,0.0,0.0,0.0,3198,1918,0.5997,0.0569,0.0569,0.007,1498,1036,0.6916,0.0267,0.0267,0.0033,7356,3723,0.5061,0.131,0.131,0.0162,1068,534,0.5,0.019,0.019,0.0023,26241,18681,0.7119,0.4671,0.4671,0.0577,1280,645,0.5039,0.0228,0.0228,0.0028,56174,35676,0.6351,1.0,1.0,0.1235,No,1,0,0,1,0,565,0
60299,32890,405646,0.5454,6.7272,12.3334,4216,2025,0.4803,0.0699,0.1282,0.0104,4363,2190,0.5019,0.0724,0.1327,0.0108,13331,6761,0.5072,0.2211,0.4053,0.0329,0,0,0.9416,0.0,0.0,0.0,7452,3360,0.4509,0.1236,0.2266,0.0184,4206,2023,0.481,0.0698,0.1279,0.0104,1135,375,0.3304,0.0188,0.0345,0.0028,0,0,0.506,0.0,0.0,0.0,1661,906,0.5455,0.0275,0.0505,0.0041,16278,5675,0.3486,0.27,0.4949,0.0401,2175,1089,0.5007,0.0361,0.0661,0.0054,54817,24404,0.4452,0.9091,1.6667,0.1351,High,1,0,0,1,0,593,0
8352,4772,0,0.5714,0.0,0.0,96,7,0.0729,0.0115,0.0201,0.1262,440,220,0.5,0.0527,0.0922,0.0197,5749,2948,0.5128,0.6883,1.2047,0.0647,0,0,0.7871,0.0,0.0,0.0,0,0,0.4706,0.0,0.0,0.0107,932,491,0.5268,0.1116,0.1953,0.0414,0,0,0.4778,0.0,0.0,0.2826,0,0,0.5062,0.0,0.0,0.084,0,0,0.4998,0.0,0.0,0.0,4714,697,0.1479,0.5644,0.9878,0.1252,0,0,0.5039,0.0,0.0,0.0862,11931,4363,0.3657,1.4285,2.5002,2.0,No,0,0,0,1,0,638,1
192324,288486,634669,1.5,3.3,2.2,23542,11470,0.4872,0.1224,0.0816,0.0371,0,0,0.5043,0.0,0.0,0.0,24955,12864,0.5155,0.1298,0.0865,0.0393,0,0,0.5563,0.0,0.0,0.0,15657,7872,0.5028,0.0814,0.0543,0.0247,10026,5929,0.5914,0.0521,0.0348,0.0158,5298,3368,0.6357,0.0275,0.0184,0.0083,23499,11892,0.5061,0.1222,0.0815,0.037,3403,1704,0.5007,0.0177,0.0118,0.0054,81858,52406,0.6402,0.4256,0.2838,0.129,4086,2048,0.5012,0.0212,0.0142,0.0064,192324,109553,0.5696,1.0,0.6667,0.303,High,1,1,0,1,0,602,1
110972,796984,776807,7.1818,7.0,0.9747,4449,2723,0.612,0.0401,0.0056,0.0057,9736,4903,0.5036,0.0877,0.0122,0.0125,3491,2220,0.6359,0.0315,0.0044,0.0045,0,0,0.8741,0.0,0.0,0.0,797,504,0.6324,0.0072,0.001,0.001,23188,13464,0.5806,0.209,0.0291,0.0299,6337,3226,0.5091,0.0571,0.008,0.0082,21415,10838,0.5061,0.193,0.0269,0.0276,1979,1080,0.5457,0.0178,0.0025,0.0025,24316,14908,0.6131,0.2191,0.0305,0.0313,5176,2601,0.5025,0.0466,0.0065,0.0067,100884,56467,0.5597,0.9091,0.1266,0.1299,Low,1,1,0,1,1,558,0
111294,131529,182117,1.1818,1.6364,1.3846,13113,5973,0.4555,0.1178,0.0997,0.072,7093,3549,0.5004,0.0637,0.0539,0.0389,21820,10960,0.5023,0.1961,0.1659,0.1198,0,0,0.9505,0.0,0.0,0.0,10598,5993,0.5655,0.0952,0.0806,0.0582,7367,3814,0.5177,0.0662,0.056,0.0405,2984,1717,0.5754,0.0268,0.0227,0.0164,0,0,0.5061,0.0,0.0,0.0,2715,1482,0.5459,0.0244,0.0206,0.0149,31916,14469,0.4533,0.2868,0.2427,0.1752,3570,1793,0.5022,0.0321,0.0271,0.0196,101176,49750,0.4917,0.9091,0.7692,0.5556,High,1,0,0,1,0,616,0
39814,7963,398140,0.2,10.0,49.9987,2194,1239,0.5647,0.0551,0.2755,0.0055,0,0,0.5028,0.0,0.0,0.0,3744,1918,0.5123,0.094,0.4702,0.0094,0,0,1.0012,0.0,0.0,0.0,1597,791,0.4953,0.0401,0.2006,0.004,6078,3525,0.58,0.1527,0.7633,0.0153,942,422,0.448,0.0237,0.1183,0.0024,3673,1859,0.5061,0.0923,0.4613,0.0092,0,0,0.5345,0.0,0.0,0.0,20442,12945,0.6333,0.5134,2.5671,0.0513,1144,575,0.5026,0.0287,0.1437,0.0029,39814,23274,0.5846,1.0,4.9999,0.1,High,1,0,0,1,0,546,0
78320,590960,78320,7.5455,1.0,0.1325,571,167,0.2925,0.0073,0.001,0.0073,0,0,0.502,0.0,0.0,0.0,9009,4543,0.5043,0.115,0.0152,0.115,43,43,1.0,0.0005,0.0001,0.0005,623,344,0.5522,0.008,0.0011,0.008,10019,4710,0.4701,0.1279,0.017,0.1279,7996,2883,0.3606,0.1021,0.0135,0.1021,18564,9395,0.5061,0.237,0.0314,0.237,451,205,0.4545,0.0058,0.0008,0.0058,19798,12601,0.6365,0.2528,0.0335,0.2528,4126,2073,0.5024,0.0527,0.007,0.0527,71200,36964,0.5192,0.9091,0.1205,0.9091,Low,1,0,0,1,0,657,1
11371,91999,9303,8.0907,0.8181,0.1011,562,139,0.2473,0.0494,0.0061,0.0604,0,0,0.4995,0.0,0.0,0.0,2904,1700,0.5854,0.2554,0.0316,0.3122,0,0,0.8992,0.0,0.0,0.0,204,112,0.549,0.0179,0.0022,0.0219,3254,1827,0.5615,0.2862,0.0354,0.3498,2177,754,0.3463,0.1915,0.0237,0.234,0,0,0.5061,0.0,0.0,0.0,132,66,0.5,0.0116,0.0014,0.0142,0,0,0.7663,0.0,0.0,0.0,1104,554,0.5018,0.0971,0.012,0.1187,10337,5152,0.4984,0.9091,0.1124,1.1111,Low,1,0,0,1,0,673,0
82477,296917,173202,3.6,2.1,0.5833,4378,2539,0.5799,0.0531,0.0147,0.0253,0,0,0.4996,0.0,0.0,0.0,4075,2318,0.5688,0.0494,0.0137,0.0235,257,0,0.8091,0.0031,0.0009,0.0015,1173,679,0.5789,0.0142,0.004,0.0068,27907,14411,0.5164,0.3384,0.094,0.1611,5186,3447,0.6647,0.0629,0.0175,0.0299,29571,14966,0.5061,0.3585,0.0996,0.1707,2732,1492,0.5461,0.0331,0.0092,0.0158,0,0,0.578,0.0,0.0,0.0,7198,3606,0.501,0.0873,0.0242,0.0416,82477,43458,0.5269,1.0,0.2778,0.4762,High,1,1,1,1,1,585,0
0,29214,113782,0.0,8.8039,3.8948,0,0,0.3584,0.1203,0.0,0.0,0,0,0.5027,0.2417,0.0,0.0,0,0,0.4989,0.1764,0.0,0.0,0,0,0.9142,0.0,0.0,0.0,571,256,0.4483,0.0,0.0195,0.005,872,453,0.5195,0.1543,0.0298,0.0077,231,131,0.5671,0.0727,0.0079,0.002,1230,623,0.5065,0.0977,0.0421,0.0108,0,0,0.5068,0.0201,0.0,0.0,12042,6989,0.5804,0.4219,0.4122,0.1058,430,215,0.5,0.0741,0.0147,0.0038,15376,8667,0.5637,0.8629,0.5263,0.1351,Low,1,0,0,1,0,582,0
58193,17458,314242,0.3,5.4,17.9999,5815,2556,0.4396,0.0999,0.3331,0.0185,0,0,0.5006,0.0,0.0,0.0,19856,10155,0.5114,0.3412,1.1374,0.0632,0,0,0.6789,0.0,0.0,0.0,0,0,0.4582,0.0,0.0,0.0,5253,1950,0.3712,0.0903,0.3009,0.0167,2221,275,0.1238,0.0382,0.1272,0.0071,18987,9609,0.5061,0.3263,1.0876,0.0604,2751,1377,0.5005,0.0473,0.1576,0.0088,0,0,0.5005,0.0,0.0,0.0,3310,1659,0.5012,0.0569,0.1896,0.0105,58193,27581,0.474,1.0,3.3333,0.1852,No,1,0,0,1,0,606,0
